sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,nmi_pca_xai,lsas,lsas_pca_center,lsas_xai_center,lsas_shuffled
29,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.22137656807899475,0.09234132617712021,0.04808002155675715,0.15685894712805748,0.11997202038764954,-0.0460209883749485,0.10227317735552788
30,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.46044251322746277,0.17064882814884186,0.08312978451382654,0.3155456706881523,0.28138958662748337,0.07401151722297072,0.34222036600112915
31,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,4,4,0.524645984172821,0.6637203693389893,0.12749267679814033,0.5941831767559052,0.4657800644636154,0.36905498802661896,0.3200347051024437
32,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,6,6,0.42382699251174927,0.39914706349372864,0.10766811655090643,0.41148702800273895,0.36590732634067535,0.3500814139842987,0.2544642686843872
33,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.7674718499183655,0.3886803984642029,0.15476302657993832,0.5780761241912842,0.015719249844551086,-0.11529257893562317,0.3650887757539749
34,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.8264983892440796,0.565641462802887,0.19899405963970646,0.6960699260234833,0.11117444187402725,-0.02388976514339447,0.07571200933307409
35,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,0.5949428677558899,0.6550154089927673,0.1260187197006283,0.6249791383743286,0.3259425088763237,0.32980091869831085,0.32141877710819244
36,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.4312203526496887,0.2821502089500427,0.10136286464511243,0.3566852807998657,0.36536477506160736,0.13030687032733113,0.09210655093193054
37,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,0,0,0.23561109602451324,0.20962785184383392,0.08019750383989394,0.22261947393417358,0.17049064487218857,0.11289249546825886,0.3590145409107208
38,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.1004190742969513,0.3516480028629303,0.0832885332099811,0.1256144642829895,0.13134846091270447,0.13127224147319794,0.19395329058170319
39,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,-0.17247599363327026,0.3461042642593384,0.08050782480779994,0.08681413531303406,0.10704269260168076,0.19865936553105712,0.1461295150220394
40,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,9,9,-0.3808099627494812,0.31558868288993835,0.11603096659864243,-0.03261063992977142,0.45807600021362305,-0.04237283766269684,0.3711661770939827
41,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.5373375415802002,0.2546418011188507,0.11409571457549243,0.39598967134952545,0.24768658354878426,0.27279187738895416,0.28691110014915466
42,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,-0.01683703623712063,0.24917908012866974,0.0941391691568405,0.11617102194577456,0.2135980874300003,0.11128107085824013,0.19039475172758102
43,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.8384660482406616,0.36562538146972656,0.15546319230325342,0.6020457148551941,0.005964189767837524,-0.0647188201546669,0.06955777853727341
44,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.10070344805717468,0.673159658908844,0.14232170296114294,0.38693155348300934,0.07793018221855164,0.1487753689289093,0.31896787509322166
45,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.2394176572561264,0.38437560200691223,0.1080886034901693,0.3118966296315193,0.1273353174328804,0.17681314423680305,0.3227943032979965
46,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.5473507642745972,0.639170229434967,0.13498435257403904,0.5932604968547821,0.02020721137523651,0.3406839594244957,0.007930047810077667
47,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,2,2,0.062077298760414124,0.43431687355041504,0.0791189970334048,0.24819708615541458,0.2646755948662758,0.10616253316402435,0.023965932428836823
48,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.28558799624443054,0.22951942682266235,0.08001725640402091,0.25755371153354645,0.46187956631183624,0.26139187812805176,0.02563204988837242
49,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.05976159870624542,0.49554240703582764,0.07245344164929035,0.27765200287103653,0.41513654589653015,0.01788705587387085,0.24918735772371292
50,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,0,0,0.562751293182373,0.3967958390712738,0.12749784804385048,0.4797735661268234,-0.07893984019756317,0.04845689982175827,0.21152569353580475
51,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.346464604139328,0.522091269493103,0.10211177551833632,0.4342779368162155,0.07900671660900116,0.13247109949588776,0.07206283882260323
52,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,6,6,0.6228949427604675,0.20229333639144897,0.14007045720701655,0.41259413957595825,0.6329971551895142,0.35877277702093124,0.5513252317905426
53,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.6232365369796753,0.35492396354675293,0.10941043914309176,0.4890802502632141,0.014477640390396118,0.04463095963001251,-0.026021018624305725
54,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5762534737586975,0.6430903077125549,0.16445047356618606,0.6096718907356262,-0.10074062645435333,-0.07197205722332001,0.07083936780691147
55,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.4902869760990143,0.15871518850326538,0.16702094707702275,0.32450108230113983,0.0801728218793869,0.2494560107588768,-0.10179153084754944
56,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,-0.017277970910072327,0.2989337742328644,0.09609576434860273,0.14082790166139603,0.31335388123989105,0.03315582871437073,0.1542162224650383
57,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.05840114876627922,0.39726021885871887,0.10389988454058312,0.22783068381249905,0.36718663573265076,0.4315335601568222,0.3303954377770424
58,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,8,8,0.2983017861843109,0.24206438660621643,0.07649965726603009,0.27018308639526367,0.1384056657552719,0.227338008582592,0.18895226158201694
59,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,5,5,0.5963926911354065,0.30042359232902527,0.11881967968354146,0.4484081417322159,0.32740554958581924,0.3337385058403015,0.08813325315713882
60,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.6699672937393188,0.24658334255218506,0.12329900398965411,0.45827531814575195,0.43074870109558105,0.394085131585598,0.3129164129495621
61,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.47426751255989075,0.2662888467311859,0.12809825462144434,0.37027817964553833,-0.032536715269088745,-0.0044870078563690186,0.3260314166545868
62,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,0.6942186951637268,0.28556424379348755,0.17099172631732815,0.4898914694786072,0.58896404504776,0.379276879131794,0.027432262897491455
63,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,-0.00845257192850113,0.5393121838569641,0.13043800645092576,0.2654298059642315,0.2886652387678623,0.0031602829694747925,0.04923134297132492
64,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,-0.08765906095504761,0.12337770313024521,0.04398131480690955,0.0178593210875988,0.6104386746883392,-0.04899248853325844,0.20173801761120558
65,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,0.43444734811782837,0.24098800122737885,0.06066893119816108,0.3377176746726036,0.11198156327009201,0.0900301574729383,0.23722990648820996
66,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,4,4,0.7376508712768555,0.5824490189552307,0.15127887444118207,0.6600499451160431,0.4307767301797867,0.2946415990591049,0.18965363129973412
67,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.3346273601055145,0.2843986451625824,0.14597370192834003,0.30951300263404846,0.2806021720170975,0.4360096752643585,0.20916249230504036
68,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,-0.05103633552789688,0.5462362766265869,0.07934318176410451,0.24759997054934502,0.27935706824064255,0.05015231668949127,0.26057650335133076
69,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,-0.5695404410362244,0.3564606308937073,0.11810546156178983,-0.10653990507125854,-0.13411006331443787,0.43355099856853485,0.10550383478403091
70,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,3,3,0.6172017455101013,0.2191437929868698,0.14693212432331731,0.41817276924848557,0.36192749440670013,0.2217469960451126,0.10129345580935478
71,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.11398620158433914,0.29807767271995544,0.12200467478017331,0.2060319371521473,-0.11600272357463837,0.09308061748743057,0.14035603031516075
72,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.23664970695972443,0.4470336139202118,0.13364766052496924,0.3418416604399681,0.25115933269262314,0.3963443487882614,0.18352815508842468
73,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.2570303678512573,0.25632306933403015,0.1209440575831584,0.25667671859264374,0.045941486954689026,-0.027494750916957855,-0.043062783777713776
74,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.6610601544380188,0.5291776061058044,0.14701115113944963,0.5951188802719116,0.2608496267348528,0.16286837309598923,0.12445119395852089
75,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,0.8141558766365051,0.3771703541278839,0.15618729637577208,0.5956631153821945,0.11501003056764603,0.06266829185187817,0.07610321044921875
76,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,0,0,0.24481815099716187,0.3697827458381653,0.1255049538628241,0.3073004484176636,0.10947693139314651,0.1685691885650158,0.28895045816898346
77,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.35910311341285706,0.5040948390960693,0.10495723812823068,0.4315989762544632,0.4446425884962082,0.26342395693063736,0.274591289460659
78,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.017608361318707466,0.3747978210449219,0.0976286281777223,0.19620309118181467,0.4408594071865082,0.12916596606373787,-0.04145800322294235
79,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.7364076972007751,0.5548335909843445,0.21327408342985252,0.6456206440925598,0.42862358689308167,0.41562120616436005,0.25830718874931335
80,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5075352787971497,0.4762658476829529,0.13967323241875343,0.49190056324005127,-0.09287947416305542,0.015525281429290771,0.3261317163705826
81,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.19197696447372437,0.21157316863536835,0.12007635080396713,0.20177506655454636,0.31922707706689835,0.4195557087659836,0.36840401589870453
82,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,2,2,0.030724957585334778,0.3758127987384796,0.10300671524305408,0.2032688781619072,0.421599805355072,0.09805098921060562,-0.03534582257270813
83,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.5715019106864929,0.18043909966945648,0.0928010931669865,0.3759705051779747,0.13365158066153526,-0.021594371646642685,0.32176557928323746
84,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,3,3,0.5145629048347473,0.3125016987323761,0.14683492631328174,0.4135323017835617,0.4773959815502167,0.26329777389764786,0.006511673331260681
85,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,2,2,-0.5861433148384094,0.35097500681877136,0.13561424652970858,-0.11758415400981903,0.27485669776797295,0.18747886456549168,0.34127429127693176
86,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,9,9,0.4333440959453583,0.6240968108177185,0.1384946238030686,0.5287204533815384,0.16955580562353134,0.22135568596422672,0.2324366308748722
87,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,8,8,0.7020071148872375,0.43338075280189514,0.23411867916879436,0.5676939338445663,-0.18964463472366333,-0.04326947033405304,-0.0958368182182312
88,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.3824898600578308,0.22482970356941223,0.10751800256372761,0.3036597818136215,-0.063355952501297,-0.04721217602491379,0.018017835915088654
89,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.25126853585243225,0.5140534043312073,0.12359168105544195,0.1313924342393875,0.39226366579532623,-0.05503833293914795,0.11878114519640803
90,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.29992687702178955,0.2677401006221771,0.12472357531933953,0.28383348882198334,0.43882718682289124,0.06806298717856407,0.043152227997779846
91,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.24072538316249847,0.27592265605926514,0.0812720585527739,0.2583240196108818,0.15183723345398903,0.1364345457404852,0.014060243964195251
92,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.2102663218975067,0.4888765811920166,0.12001574834696588,0.13930512964725494,-0.005323424935340881,0.2558339163661003,0.3715392127633095
93,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.3508716821670532,0.29789677262306213,0.08841535690589858,0.3243842273950577,0.44583411514759064,0.059036798775196075,0.08462924510240555
94,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.6520903706550598,0.24213482439517975,0.11358613486039114,0.4471125975251198,0.5125376731157303,0.32747915387153625,0.11324335262179375
95,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,5,5,0.05730961263179779,0.3375014662742615,0.11378336149024007,0.19740553945302963,0.04386188089847565,0.04355492442846298,-0.039993323385715485
96,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.08619411289691925,0.23942074179649353,0.07028701826904973,0.07661331444978714,0.33699430525302887,0.16935613378882408,0.10719244927167892
97,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.8579414486885071,0.5603070855140686,0.14993859810380017,0.7091242671012878,-0.05469677224755287,0.08264810778200626,-0.07407592236995697
98,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.5142076015472412,0.7157803177833557,0.17594138649944577,0.6149939596652985,0.6191508769989014,0.466488778591156,0.037891460582613945
99,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.1077626571059227,0.32462263107299805,0.12027084374319945,0.21619264408946037,0.17547419667243958,0.26247764751315117,-0.023990347981452942
100,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.9003595113754272,0.5322747230529785,0.17722640850041102,0.7163171172142029,-0.010973811149597168,0.009705223143100739,0.42021094262599945
101,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,-0.014595159329473972,0.37464192509651184,0.11393243792067198,0.18002338288351893,-0.1896052211523056,0.13648239523172379,0.1525672647403553
102,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,5,5,0.13112211227416992,0.4595748782157898,0.13824013801202825,0.29534849524497986,0.6712695956230164,0.400699183344841,0.29624083638191223
103,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.3617396652698517,0.5070174336433411,0.16436036511396673,0.4343785494565964,-0.09275971353054047,0.09239209443330765,0.24205155111849308
104,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.013204498216509819,0.34502118825912476,0.07973169553587207,0.1791128432378173,0.3956022709608078,0.22565614059567451,0.2545039430260658
105,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.6940075755119324,0.24471516907215118,0.20341888916338777,0.4693613722920418,0.3512801080942154,0.13676534593105316,-0.07009037584066391
106,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,9,9,0.6326692700386047,0.2907570004463196,0.13288960180807224,0.46171313524246216,0.45388181507587433,0.2340039387345314,0.024197623133659363
107,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.3560125231742859,0.14092014729976654,0.09549378879101664,0.24846633523702621,0.16944406181573868,-0.04826361685991287,0.27631713449954987
108,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,9,9,0.4460972845554352,0.40953657031059265,0.13579442434579403,0.4278169274330139,0.3971192389726639,-0.01186428964138031,0.0432790145277977
109,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,-0.2838886082172394,0.35207700729370117,0.12399790997258442,0.034094199538230896,0.1954021044075489,0.3254392296075821,-0.03558856248855591
110,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.04992758110165596,0.31944745779037476,0.07824545892571386,0.18468751944601536,0.41766905784606934,0.15544415451586246,0.3756616413593292
111,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.457747220993042,0.5666658878326416,0.1272959834930579,0.5122065544128418,0.5060885101556778,0.35876141488552094,0.23917659162543714
112,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.6298019886016846,0.5006100535392761,0.13597851436155042,0.5652060210704803,0.26491106674075127,0.113198172301054,0.12139149568974972
113,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,0,0,0.0693712830543518,0.2809086740016937,0.08233460726401544,0.17513997852802277,0.2107821311801672,0.22639909386634827,0.08389230072498322
114,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,-0.45767027139663696,0.2207655906677246,0.1345911772258797,-0.11845234036445618,0.28255733475089073,0.07530228048563004,0.20841556042432785
115,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.7075639963150024,0.4326034486293793,0.16950952826656934,0.5700837224721909,0.39557619392871857,0.06766781210899353,0.10364441946148872
116,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.5584359765052795,0.23445624113082886,0.09427742748697467,0.3964461088180542,0.6644459366798401,0.3629792705178261,0.28969888389110565
117,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,9,9,0.253939151763916,0.4120430052280426,0.12403291059046037,0.3329910784959793,-0.03322087228298187,0.002593398094177246,0.2905922159552574
118,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.8160402774810791,0.4154583811759949,0.19317683766999408,0.615749329328537,0.2481872569769621,0.08620715513825417,0.11260974034667015
119,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.362458199262619,0.36384597420692444,0.08333074876679206,0.36315208673477173,0.08257243037223816,0.2461950220167637,0.18080613296478987
120,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,3,3,0.46785327792167664,0.3333550989627838,0.14070258592205923,0.4006041884422302,0.046501725912094116,0.07591791450977325,0.0014506131410598755
121,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,4,4,0.19721315801143646,0.38575124740600586,0.20326557276938598,0.29148220270872116,0.021065667271614075,0.041151657700538635,-0.04466817528009415
122,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,-0.04972138628363609,0.21025940775871277,0.041184739687121566,0.08026901073753834,0.09315153956413269,0.15541362762451172,0.2819831669330597
123,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.48404115438461304,0.5603761076927185,0.21041248860451792,0.5222086310386658,0.44734036922454834,0.195143174380064,-0.08694224059581757
124,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.3735869824886322,0.5024247765541077,0.15669323998504747,0.43800587952136993,0.35512838512659073,0.5590559244155884,0.2033625841140747
125,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,-0.023636074736714363,0.3957842290401459,0.08521285219593269,0.18607407715171576,-0.07553960382938385,0.19562913663685322,0.29468442499637604
126,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.46232613921165466,0.12068191915750504,0.15670667702507346,0.29150402918457985,0.18183819204568863,0.15562812983989716,0.2273080013692379
127,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.715398371219635,0.6515935063362122,0.16158435679686767,0.6834959387779236,0.2947928011417389,0.37294235825538635,0.12325968965888023
128,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,3,3,0.6523833870887756,0.47158312797546387,0.1748907847918145,0.5619832575321198,-0.11263564229011536,-0.0886346697807312,0.1376531757414341
